Fixture_ID,Date,Time,Status_Long,Status_Short,Elapsed,Home_Team,Away_Team,Home_Goals,Away_Goals,Venue,Referee
1150336,2024-04-08,00:00:00,Match Finished,FT,90,Atletico San Luis,FC Juarez,2,3,Estadio Alfonso Lastras Ramírez,Ó. Mejía
1150337,2024-04-13,01:06:00,Match Finished,FT,90,Club Queretaro,Mazatlan,0,2,Estadio Corregidora,M. Ortíz
1150338,2024-04-13,03:00:00,Match Finished,FT,90,Necaxa,Santos Laguna,2,0,Estadio Victoria,F. Hernández
1150339,2024-04-13,03:00:00,Match Finished,FT,90,Puebla,Cruz Azul,0,1,Estadio Cuauhtémoc,K. Garcia
1150340,2024-04-13,23:00:00,Match Finished,FT,90,Pachuca,Guadalajara Chivas,0,1,Estadio Hidalgo,J. Lopez
1150341,2024-04-14,01:05:00,Match Finished,FT,90,Club America,Toluca,5,1,Estadio Azteca,A. Escobedo
1150342,2024-04-14,03:10:00,Match Finished,FT,90,Monterrey,Tigres UANL,3,3,Estadio BBVA,C. Ramos
1150343,2024-04-15,00:00:00,Match Finished,FT,90,Atlas,Atletico San Luis,2,1,Estadio Jalisco,V. Cáceres
1150344,2024-04-15,00:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Leon,1,0,Estadio Olímpico Universitario,D. Quintero
1150345,2024-04-15,02:06:00,Match Finished,FT,90,FC Juarez,Club Tijuana,0,1,Estadio Olímpico Benito Juárez,L. Santander
1150346,2024-04-20,01:00:00,Match Finished,FT,90,Mazatlan,FC Juarez,0,2,Estadio El Encanto,F. Hernández
1150347,2024-04-20,03:00:00,Match Finished,FT,90,Atletico San Luis,Toluca,1,5,Estadio Alfonso Lastras Ramírez,D. Quintero
1150348,2024-04-20,03:10:00,Match Finished,FT,90,Club Tijuana,Puebla,3,1,Estadio Caliente,A. Escobedo
1150349,2024-04-20,23:00:00,Match Finished,FT,90,Leon,Monterrey,2,0,Estadio León,V. Cáceres
1150351,2024-04-21,01:05:00,Match Finished,FT,90,Guadalajara Chivas,Club Queretaro,2,0,Estadio AKRON,Ó. Mejía
1150350,2024-04-21,01:05:00,Match Finished,FT,90,Tigres UANL,Necaxa,5,2,Estadio Universitario,M. Ortíz
1150354,2024-04-21,01:05:00,Match Finished,FT,90,Santos Laguna,Pachuca,0,2,Estadio Corona,I. Lopez
1150352,2024-04-21,03:10:00,Match Finished,FT,90,U.N.A.M. - Pumas,Club America,2,1,Estadio Olímpico Universitario,F. Guerrero
1150353,2024-04-22,00:00:00,Match Finished,FT,90,Cruz Azul,Atlas,2,2,Estadio Ciudad de los Deportes,L. Santander
1150355,2024-04-27,01:00:00,Match Finished,FT,90,Puebla,Club America,1,2,Estadio Cuauhtémoc,G. Pacheco
1150356,2024-04-27,03:10:00,Match Finished,FT,90,Club Queretaro,U.N.A.M. - Pumas,1,1,Estadio Corregidora,I. Lopez
1150357,2024-04-27,23:06:00,Match Finished,FT,90,FC Juarez,Leon,1,1,Estadio Olímpico Benito Juárez,A. Escobedo
1150358,2024-04-28,01:00:00,Match Finished,FT,90,Tigres UANL,Club Tijuana,4,1,Estadio Universitario,F. Hernández
1150360,2024-04-28,01:00:00,Match Finished,FT,90,Toluca,Cruz Azul,0,1,Estadio Nemesio Díez,F. Guerrero
1150359,2024-04-28,01:10:00,Match Finished,FT,90,Pachuca,Mazatlan,1,1,Estadio Hidalgo,L. Santander
1150361,2024-04-28,03:10:00,Match Finished,FT,90,Atlas,Guadalajara Chivas,0,1,Estadio Jalisco,M. Ortíz
1150363,2024-04-29,00:00:00,Match Finished,FT,90,Santos Laguna,Atletico San Luis,0,3,Estadio Corona,I. López
1150362,2024-04-29,00:00:00,Match Finished,FT,90,Necaxa,Monterrey,2,5,Estadio Victoria,J. Lopez
1198553,2024-05-06,02:06:00,Match Finished,FT,90,Pachuca,Necaxa,2,1,Estadio Hidalgo,F. Hernández
1197967,2024-05-09,01:05:00,Match Finished,FT,90,Guadalajara Chivas,Toluca,1,0,Estadio AKRON,Ó. Mejía
1198984,2024-05-09,03:16:00,Match Finished,FT,90,Pachuca,Club America,1,1,Estadio Hidalgo,F. Guerrero
1198551,2024-05-10,01:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Cruz Azul,0,2,Estadio Olímpico Universitario,L. Santander
1197969,2024-05-10,03:10:00,Match Finished,FT,90,Tigres UANL,Monterrey,1,2,Estadio Universitario,M. Ortíz
1198985,2024-05-12,00:00:00,Match Finished,FT,90,Club America,Pachuca,1,1,Estadio Azteca,V. Cáceres
1197968,2024-05-12,02:10:00,Match Finished,FT,90,Toluca,Guadalajara Chivas,0,0,Estadio Nemesio Díez,C. Ramos
1198552,2024-05-13,01:00:00,Match Finished,FT,90,Cruz Azul,U.N.A.M. - Pumas,2,2,Estadio Ciudad de los Deportes,D. Quintero
1197970,2024-05-13,03:10:00,Match Finished,FT,90,Monterrey,Tigres UANL,1,1,Estadio BBVA,F. Hernández
1199963,2024-05-16,02:05:00,Match Finished,FT,90,Guadalajara Chivas,Club America,0,0,Estadio AKRON,Ó. Mejía
1200174,2024-05-17,03:00:00,Match Finished,FT,90,Monterrey,Cruz Azul,0,1,Estadio BBVA,D. Quintero
1199964,2024-05-19,02:00:00,Match Finished,FT,90,Club America,Guadalajara Chivas,1,0,Estadio Azteca,C. Ramos
1200175,2024-05-20,00:00:00,Match Finished,FT,90,Cruz Azul,Monterrey,1,2,Estadio Ciudad de los Deportes,F. Guerrero
1200843,2024-05-24,02:00:00,Match Finished,FT,90,Cruz Azul,Club America,1,1,Estadio Ciudad de los Deportes,F. Hernández
1200844,2024-05-27,01:00:00,Match Finished,FT,90,Club America,Cruz Azul,1,0,Estadio Azteca,M. Ortíz
